Category: All categories,,
,,
Week,DENGUE: (State of Amazonas),SINTOMAS DENGUE: (State of Amazonas)
06/01/2019,5,0
13/01/2019,0,0
20/01/2019,7,18
27/01/2019,0,0
03/02/2019,5,0
10/02/2019,9,0
17/02/2019,19,0
24/02/2019,10,16
03/03/2019,8,19
10/03/2019,11,16
17/03/2019,19,0
24/03/2019,9,14
31/03/2019,8,0
07/04/2019,13,0
14/04/2019,11,0
21/04/2019,13,0
28/04/2019,11,0
05/05/2019,12,0
12/05/2019,9,0
19/05/2019,0,0
26/05/2019,14,0
02/06/2019,10,0
09/06/2019,7,0
16/06/2019,8,0
23/06/2019,6,0
30/06/2019,6,0
07/07/2019,7,0
14/07/2019,8,0
21/07/2019,11,0
28/07/2019,9,0
04/08/2019,0,0
11/08/2019,0,16
18/08/2019,9,0
25/08/2019,8,0
01/09/2019,9,0
08/09/2019,0,0
15/09/2019,6,0
22/09/2019,6,0
29/09/2019,7,0
06/10/2019,10,0
13/10/2019,6,0
20/10/2019,6,0
27/10/2019,9,0
03/11/2019,12,0
10/11/2019,10,0
17/11/2019,11,0
24/11/2019,13,0
01/12/2019,9,0
08/12/2019,9,0
15/12/2019,5,0
22/12/2019,0,0
29/12/2019,13,0
05/01/2020,11,0
12/01/2020,9,0
19/01/2020,0,0
26/01/2020,16,17
02/02/2020,14,0
09/02/2020,20,15
16/02/2020,11,0
23/02/2020,15,0
01/03/2020,16,0
08/03/2020,18,0
15/03/2020,30,17
22/03/2020,23,14
29/03/2020,23,19
05/04/2020,30,29
12/04/2020,27,32
19/04/2020,22,29
26/04/2020,19,24
03/05/2020,11,16
10/05/2020,11,12
17/05/2020,10,12
24/05/2020,13,0
31/05/2020,16,12
07/06/2020,9,0
14/06/2020,14,0
21/06/2020,10,0
28/06/2020,5,0
05/07/2020,15,13
12/07/2020,10,12
19/07/2020,12,13
26/07/2020,7,0
02/08/2020,10,0
09/08/2020,6,0
16/08/2020,5,0
23/08/2020,10,0
30/08/2020,8,0
06/09/2020,9,0
13/09/2020,5,0
20/09/2020,12,0
27/09/2020,0,0
04/10/2020,10,0
11/10/2020,8,0
18/10/2020,9,0
25/10/2020,4,0
01/11/2020,4,0
08/11/2020,10,0
15/11/2020,8,0
22/11/2020,15,0
29/11/2020,10,0
06/12/2020,14,0
13/12/2020,14,0
20/12/2020,11,0
27/12/2020,19,21
03/01/2021,25,38
10/01/2021,20,16
17/01/2021,21,24
24/01/2021,23,17
31/01/2021,17,26
07/02/2021,14,13
14/02/2021,22,13
21/02/2021,20,14
28/02/2021,26,32
07/03/2021,16,20
14/03/2021,19,18
21/03/2021,31,24
28/03/2021,20,0
04/04/2021,20,20
11/04/2021,19,18
18/04/2021,25,15
25/04/2021,19,23
02/05/2021,17,0
09/05/2021,19,0
16/05/2021,23,14
23/05/2021,18,20
30/05/2021,13,0
06/06/2021,12,18
13/06/2021,14,0
20/06/2021,12,24
27/06/2021,9,19
04/07/2021,15,0
11/07/2021,17,17
18/07/2021,11,13
25/07/2021,10,0
01/08/2021,10,0
08/08/2021,13,12
15/08/2021,13,12
22/08/2021,10,0
29/08/2021,10,0
05/09/2021,11,0
12/09/2021,8,0
19/09/2021,12,0
26/09/2021,9,0
03/10/2021,6,0
10/10/2021,7,0
17/10/2021,7,0
24/10/2021,8,0
31/10/2021,8,0
07/11/2021,6,0
14/11/2021,6,0
21/11/2021,8,0
28/11/2021,4,0
05/12/2021,9,0
12/12/2021,11,0
19/12/2021,9,0
26/12/2021,0,0
02/01/2022,7,0
09/01/2022,13,0
16/01/2022,10,0
23/01/2022,9,0
30/01/2022,8,0
06/02/2022,5,0
13/02/2022,11,10
